Mathematics,Science,English,Hindi,Social Science,Physics,Chemistry,Biology,Basic Electrical Engineering,Mathematics I,Analog Electronic Circuits,Environmental Science,Basic Manufacturing Systems,Yoga and Human Consciousness,Professional Communication,Engineering Graphics,Computer Programming,Data Structures and Algorithms,Digital Electronics,Engineering Economics,Object-Oriented Programming,Probability & Statistics,Computer Organization and Architecture,Database Management Systems,Principle of Digital Communication,Operating Systems,Automata and Formal Languages,Web Technology,Business Communication,Software Engineering,Big Data,Design and Analysis of Algorithms,High-Performance Computing,Computer Networks,Artificial Intelligence,Law of Patent,Data Analytics,Internet of Things,Compiler Design,Software Project Management,Cloud Computing,Tools and Techniques Laboratory,Minor Project,Job Role
89,66,63,73,58,97,99,52,56,50,66,59,78,62,88,80,84,94,82,65,69,64,85,64,52,67,56,62,100,90,77,90,74,80,53,61,61,78,91,100,80,91,63,Engineer
81,71,69,51,89,87,86,78,86,82,80,88,86,56,93,97,55,52,83,60,89,59,66,59,67,94,83,53,52,80,74,86,68,68,93,81,62,75,77,76,68,73,60,Engineer
82,73,56,87,77,85,51,99,100,83,61,59,67,75,78,58,53,89,99,99,74,73,97,72,56,61,58,70,87,81,87,80,66,70,91,61,68,59,79,67,79,54,81,Engineer
51,96,76,67,63,84,88,60,59,76,98,65,51,94,98,76,85,65,78,90,66,95,58,90,69,90,83,57,82,83,67,68,59,82,60,97,65,87,50,89,88,57,97,AI Researcher
69,86,67,78,74,93,53,91,93,52,67,70,99,50,85,91,94,61,96,98,68,62,58,60,60,50,86,96,57,82,93,62,73,58,74,51,52,51,52,70,74,58,59,Mechanical Engineer
90,84,67,60,64,76,73,62,98,98,96,65,86,64,51,50,52,99,94,75,60,58,72,83,85,74,78,66,87,97,87,63,73,82,99,82,73,58,53,98,52,86,94,Full Stack Developer
63,60,62,77,94,84,84,78,96,70,84,88,65,56,71,81,71,52,64,67,65,76,50,98,56,86,77,55,71,79,56,71,66,98,68,67,68,71,61,52,60,86,81,Cybersecurity Analyst
80,75,91,73,75,80,59,95,84,72,51,100,74,60,88,71,98,85,92,84,77,50,98,83,51,74,93,80,55,69,71,86,62,59,58,91,67,68,81,56,72,78,53,Patent Lawyer
66,74,77,100,62,57,71,83,90,67,55,81,60,70,57,92,76,84,87,68,88,71,67,59,82,94,66,76,67,88,86,100,83,76,69,82,92,93,88,57,76,62,81,Data Scientist
51,92,50,100,89,53,96,54,56,82,52,94,64,79,86,76,77,91,88,74,66,77,75,69,61,93,57,92,66,61,74,90,93,68,54,79,69,85,62,88,84,84,96,Environmental Engineer
60,93,89,95,70,78,75,91,87,95,90,62,85,81,76,94,55,89,99,59,93,92,77,87,60,92,86,64,92,68,68,71,61,72,50,96,55,69,100,54,59,69,78,Patent Lawyer
63,95,61,91,60,67,69,66,79,60,90,68,52,85,68,93,77,94,74,83,96,87,96,84,87,58,76,97,72,73,71,66,63,52,69,87,54,93,78,87,76,65,63,Web Developer
64,76,84,64,81,67,81,89,96,99,66,76,83,68,52,57,79,57,93,56,55,53,78,58,60,90,88,60,67,84,50,80,63,66,64,73,85,90,94,65,70,81,81,Doctor
50,70,99,72,53,85,84,50,80,73,52,74,93,83,70,50,89,92,78,74,55,55,63,92,82,57,75,50,89,53,86,60,71,76,74,71,93,76,52,91,79,65,69,Data Scientist
92,53,66,89,88,76,61,51,82,55,86,87,66,93,62,82,67,72,77,52,99,51,85,95,68,72,98,50,60,62,100,60,86,95,99,70,54,50,61,84,61,82,84,Machine Learning Engineer
52,55,89,51,88,85,86,57,70,79,70,83,68,98,89,86,89,68,88,88,96,66,51,91,67,59,73,63,91,76,85,79,84,95,92,75,85,71,62,91,79,76,95,Project Manager
72,58,51,91,85,80,75,61,87,61,93,86,64,58,71,53,66,89,60,91,71,82,77,93,57,59,59,57,85,56,58,72,71,62,83,68,57,78,51,56,91,74,99,Economist
65,79,80,68,50,98,80,82,99,53,88,66,69,65,82,83,62,90,73,54,86,57,78,52,59,66,82,95,93,91,89,87,90,93,90,73,56,69,69,75,72,75,91,Web Developer
52,64,87,77,79,63,68,55,66,97,61,57,91,67,88,66,66,97,86,69,83,68,62,74,73,78,78,60,60,88,86,81,58,100,77,65,87,65,80,84,73,60,87,Data Scientist
68,85,86,82,86,55,84,53,66,58,85,99,72,56,78,53,55,81,85,93,100,71,81,88,62,68,93,78,94,69,87,51,70,83,74,54,77,95,58,72,86,63,57,Environmental Engineer
56,61,50,77,52,76,66,70,82,63,50,60,69,87,54,88,59,57,69,83,97,53,77,65,50,71,67,73,59,92,74,88,64,62,62,52,53,54,90,77,85,67,86,DevOps Engineer
95,59,60,58,88,61,83,77,89,57,92,69,64,75,100,67,57,92,99,58,65,97,63,92,98,76,98,51,86,69,60,52,76,73,92,61,82,90,77,98,71,78,98,Full Stack Developer
92,96,85,51,76,59,97,96,97,53,90,80,83,85,88,73,60,69,89,96,59,63,85,97,56,97,65,100,99,51,94,69,83,98,77,65,73,75,67,52,70,85,79,Doctor
62,57,85,74,60,69,87,68,98,80,95,52,82,66,76,69,96,83,58,66,56,76,88,61,73,60,91,86,57,64,78,80,58,72,78,61,51,62,61,54,79,76,89,Software Developer
69,98,91,81,62,69,95,88,52,76,69,63,90,87,65,86,74,50,55,73,86,54,76,51,70,65,85,90,77,60,62,89,78,82,51,82,89,87,99,81,77,94,57,Data Scientist
67,66,77,100,80,52,92,87,78,93,67,83,74,91,76,76,58,76,65,64,75,61,54,59,54,90,90,76,74,94,68,75,98,51,59,60,63,61,63,64,52,100,91,Doctor
53,79,60,86,77,73,80,65,61,78,74,54,73,97,68,65,52,81,58,80,85,98,78,58,84,50,68,86,60,70,67,83,56,98,84,100,51,58,83,78,78,76,93,Web Developer
100,94,54,50,58,94,77,56,94,68,61,71,77,96,99,55,67,50,69,76,99,89,73,50,95,70,86,94,76,59,99,67,92,54,59,50,90,81,75,65,72,58,75,Data Scientist
58,94,60,64,60,79,56,89,75,80,91,81,62,77,55,64,71,86,81,61,79,65,82,70,86,83,61,83,65,100,98,94,50,59,97,67,64,56,59,85,82,84,93,Data Analyst
74,95,93,88,83,64,74,96,86,60,97,63,86,74,52,80,99,100,51,86,73,100,59,92,64,70,84,59,88,52,95,78,87,79,88,60,89,87,59,59,76,87,78,Data Scientist
73,52,89,87,99,62,63,80,56,60,100,71,77,68,81,91,77,93,98,60,64,98,62,72,51,70,60,59,84,84,52,66,75,57,50,59,86,64,99,94,57,65,56,Data Scientist
82,61,95,78,82,82,92,64,84,50,78,73,54,95,87,91,56,94,61,72,55,58,98,93,90,64,66,97,95,67,95,51,84,98,86,68,68,97,55,69,82,86,51,Engineer
86,80,93,57,100,71,56,55,62,88,92,78,87,100,66,52,51,54,83,68,97,61,76,89,100,54,81,74,57,77,85,54,68,69,69,58,92,87,64,54,94,52,58,Data Scientist
97,94,83,74,59,89,58,55,52,98,55,98,77,88,54,77,92,98,99,97,75,83,93,64,96,57,98,79,89,88,90,77,69,58,69,69,92,56,77,58,50,60,60,Software Developer
76,96,56,81,73,50,76,64,90,56,78,52,98,70,90,78,54,57,83,91,69,86,75,78,91,98,78,64,50,62,92,82,78,63,97,67,75,100,77,55,96,54,53,Economist
75,85,70,84,97,84,81,72,64,75,91,77,64,82,85,66,68,86,87,91,80,76,79,66,52,88,68,58,89,61,80,96,50,80,59,59,76,95,71,82,64,79,61,Civil Services
58,93,69,58,72,72,89,99,74,61,53,83,64,60,56,70,74,56,58,75,93,95,78,74,54,91,94,68,54,56,89,94,90,56,56,69,67,70,97,58,62,86,82,Doctor
78,50,68,52,53,56,93,100,88,90,63,82,66,89,86,54,83,77,51,64,68,78,74,73,72,68,59,65,81,96,89,50,61,100,68,69,56,96,69,51,77,58,72,Doctor
67,51,71,83,95,87,60,100,65,89,90,88,93,85,91,95,99,91,76,51,93,72,98,71,60,78,73,72,71,74,87,86,61,50,71,73,55,54,58,94,52,51,76,Data Analyst
100,53,57,90,76,67,65,53,99,78,70,94,61,77,60,83,70,90,52,58,66,78,88,94,62,75,96,90,70,52,91,55,85,64,94,66,78,52,93,52,100,93,80,Full Stack Developer
67,57,55,82,62,78,83,62,91,86,59,69,77,50,62,88,82,85,94,92,61,100,89,58,78,75,89,65,87,57,54,76,94,91,64,51,95,96,89,88,57,77,86,Data Scientist
74,91,99,92,67,58,86,66,74,60,68,98,82,83,66,66,57,59,57,65,50,79,83,95,92,52,82,89,98,55,66,61,60,70,63,92,57,100,82,85,87,92,77,Patent Lawyer
85,55,77,90,65,80,78,56,65,58,83,82,76,91,99,52,89,70,86,69,61,94,62,99,92,100,55,82,61,94,82,94,99,74,74,59,84,70,83,55,86,84,61,Database Administrator
81,70,77,52,62,74,80,61,65,62,63,91,93,81,95,100,88,91,83,56,53,54,83,94,77,80,76,59,91,53,65,73,81,91,70,51,95,83,73,99,91,97,94,Data Scientist
75,67,70,97,98,91,58,56,96,78,51,66,59,75,89,79,100,66,64,74,54,85,57,81,54,60,74,71,72,79,54,64,90,60,94,60,52,90,54,53,84,59,93,AI Researcher
76,54,82,85,99,67,94,63,73,60,78,88,62,80,64,85,53,79,53,55,55,53,51,89,61,92,72,100,73,51,89,88,85,70,99,51,62,68,51,64,95,68,76,Cloud Architect
98,76,77,78,90,71,58,86,63,74,97,68,69,71,51,100,76,83,95,66,77,61,79,76,71,76,62,72,97,54,73,83,58,60,62,83,72,93,97,67,54,97,99,Full Stack Developer
73,97,92,78,84,67,94,55,71,65,52,92,99,98,77,58,60,65,69,83,69,61,54,65,96,59,53,61,66,98,73,64,90,60,75,80,51,57,55,90,84,91,89,Environmental Engineer
98,78,64,83,85,51,70,86,56,92,78,54,72,62,72,60,56,65,84,80,59,56,76,74,55,78,64,77,93,61,76,61,71,67,60,79,82,95,75,57,60,100,63,Machine Learning Engineer
83,76,72,90,84,94,88,51,76,69,50,89,97,73,91,64,55,76,64,60,88,98,92,96,84,81,57,76,93,88,53,85,89,58,93,84,55,54,88,63,77,68,54,Engineer
69,93,57,96,79,62,69,95,87,92,50,76,54,92,66,51,97,61,78,97,91,79,88,72,87,58,71,58,93,66,66,83,88,89,79,78,67,52,62,51,56,85,85,Operations Manager
90,88,100,80,53,65,58,53,70,89,53,79,61,100,77,87,56,93,80,96,54,86,87,75,59,91,59,96,86,94,87,76,95,55,50,93,61,98,52,97,90,94,97,Full Stack Developer
61,53,79,73,69,90,50,52,85,60,98,80,77,56,85,93,51,60,63,78,69,80,77,82,68,73,73,54,84,79,83,82,74,96,84,71,97,100,86,51,99,76,55,Data Scientist
95,74,88,75,88,75,83,70,98,58,50,69,71,54,77,54,78,75,56,73,96,59,54,81,76,77,81,88,57,84,51,97,79,51,52,79,88,72,69,55,85,71,71,Data Scientist
96,81,90,94,84,87,79,90,90,66,67,76,72,62,100,59,71,83,100,98,78,61,69,95,96,96,81,83,69,61,69,70,84,89,82,100,53,54,92,79,55,70,88,Engineer
59,90,98,56,79,63,87,97,53,79,95,89,97,94,82,70,97,70,65,71,93,80,97,95,51,76,75,60,92,91,89,50,89,70,92,81,64,84,52,87,51,63,85,Doctor
76,83,59,90,60,52,87,70,58,93,78,60,73,59,58,68,87,86,87,89,83,52,73,81,85,52,50,60,69,54,70,87,67,86,58,82,91,76,99,64,84,67,100,Data Scientist
62,73,51,90,94,100,62,87,93,77,80,57,54,83,95,81,90,69,64,76,96,58,57,84,59,60,51,50,89,70,96,74,68,96,62,77,55,91,57,97,88,69,72,Project Manager
95,74,87,96,77,98,62,70,96,58,84,92,91,52,50,83,89,80,84,73,61,81,75,84,88,61,50,78,52,66,95,75,75,80,85,88,67,95,50,61,53,98,76,Software Developer
74,60,80,55,62,50,81,86,65,51,71,78,54,91,82,75,91,80,82,53,76,95,82,60,93,63,61,52,75,86,60,76,67,79,88,82,55,58,71,74,55,90,60,Doctor
64,79,57,58,64,67,51,100,96,77,87,96,91,93,100,93,93,94,62,51,59,55,62,87,84,94,63,74,77,70,90,77,71,79,68,95,98,78,85,67,84,71,66,Data Scientist
97,63,86,68,69,79,64,50,87,70,95,64,62,59,64,95,92,89,99,89,86,100,74,74,88,50,71,85,58,65,54,93,53,54,98,99,84,79,73,99,63,88,57,Software Developer
84,52,51,96,85,68,83,59,54,81,80,85,98,61,74,90,62,87,91,75,64,79,68,93,73,87,76,54,90,98,91,76,94,81,71,97,55,80,86,68,80,71,56,Full Stack Developer
80,53,62,69,52,68,100,62,83,68,50,94,64,91,78,60,100,60,85,96,78,87,82,50,76,79,66,81,88,88,98,50,92,74,65,81,55,96,98,53,50,94,85,Economist
56,54,74,97,73,76,95,53,75,67,55,51,77,65,64,67,52,72,76,79,100,78,52,69,88,81,82,54,56,79,59,87,53,79,93,56,88,89,86,84,88,55,66,Data Scientist
52,94,73,67,54,78,69,69,87,51,95,89,80,100,81,59,80,85,64,52,69,69,54,58,65,98,73,96,53,71,87,86,70,94,66,80,60,66,58,86,85,93,73,Cybersecurity Analyst
51,87,96,91,83,83,60,89,53,54,81,98,84,100,84,66,77,85,99,55,51,95,67,50,83,51,71,74,88,52,67,71,67,57,92,84,72,86,100,93,65,58,88,AI Researcher
82,82,82,57,57,86,83,95,51,65,61,85,67,93,96,78,66,58,76,65,97,93,98,61,92,96,83,50,76,93,92,56,92,77,97,95,75,90,64,71,96,64,86,Engineer
87,84,55,94,97,76,50,77,67,66,66,99,52,76,50,64,75,96,80,54,91,80,97,52,90,68,74,56,84,64,96,82,100,84,74,84,99,61,94,83,81,65,56,Data Scientist
73,89,58,75,63,62,72,74,73,97,93,73,88,83,98,95,96,76,68,51,66,95,63,98,69,74,80,53,63,64,62,93,99,73,59,96,69,72,71,78,54,75,81,Patent Lawyer
82,86,92,65,55,76,92,78,75,99,100,96,81,82,95,64,76,68,86,98,52,88,64,55,98,65,61,58,96,72,71,50,70,54,58,56,90,98,67,92,62,95,61,Data Scientist
84,75,90,85,70,62,85,74,98,88,83,98,77,80,66,62,87,69,78,69,76,98,82,67,65,60,97,88,67,68,89,82,65,94,90,74,96,51,87,90,56,90,94,Data Scientist
50,65,95,54,96,57,75,51,96,78,85,80,98,67,76,70,86,53,74,82,99,69,85,92,82,61,90,93,86,61,69,90,98,52,93,96,71,62,64,52,81,81,79,Web Developer
93,85,57,62,73,97,67,96,63,83,96,84,85,51,56,74,63,59,50,84,56,69,87,99,91,60,72,91,98,75,99,50,54,81,95,66,84,58,52,62,95,59,51,Engineer
66,67,73,78,91,93,69,51,60,70,76,66,58,63,74,80,92,59,51,73,63,77,59,81,75,99,50,68,94,64,86,60,60,85,50,91,63,51,76,72,100,95,100,Cybersecurity Analyst
78,53,69,97,63,88,58,55,75,79,54,65,94,92,80,96,97,69,82,90,100,69,80,62,70,99,72,99,91,56,62,76,72,85,59,53,91,52,80,76,66,53,85,Data Scientist
81,62,51,95,81,62,96,84,58,59,88,56,97,51,71,93,99,68,89,51,79,100,75,54,94,92,85,76,68,77,56,63,62,88,56,87,75,91,56,97,51,95,67,Cybersecurity Analyst
73,75,70,98,78,92,51,52,76,92,71,70,89,76,99,56,55,58,70,59,64,89,73,60,97,82,66,52,60,66,70,94,50,67,89,63,96,87,53,70,64,58,62,Data Scientist
70,72,54,95,56,83,64,69,73,72,59,63,80,82,53,78,57,80,76,90,64,80,85,89,75,64,69,70,96,77,87,96,99,88,72,62,98,76,78,93,65,93,52,Data Scientist
53,72,88,52,50,68,78,92,69,77,75,51,72,58,84,86,54,94,85,70,69,61,85,68,89,61,75,84,81,93,93,61,74,67,90,78,96,58,86,67,81,89,95,Data Scientist
88,66,95,69,86,52,78,76,92,57,86,61,94,70,74,78,78,50,64,80,79,52,79,93,58,79,76,58,55,90,71,55,74,52,71,72,72,100,66,74,77,84,52,Database Administrator
56,72,51,66,98,98,67,58,66,65,71,79,83,67,55,77,50,56,96,53,95,87,74,50,77,58,94,93,66,69,72,79,66,68,96,69,79,63,71,100,75,65,63,AI Researcher
95,61,81,92,67,69,60,76,64,63,53,70,69,60,62,50,52,100,87,75,73,100,59,91,59,85,82,85,79,69,95,58,53,65,50,57,84,69,78,76,91,75,55,Full Stack Developer
97,59,55,82,90,84,92,57,70,99,52,50,57,52,85,82,83,64,83,80,99,98,68,55,81,94,57,95,97,88,72,72,63,54,74,93,69,70,66,59,67,77,63,Engineer
96,53,68,85,95,92,55,92,93,62,74,69,69,100,50,87,55,82,86,94,86,65,61,100,96,65,87,91,67,74,64,71,92,62,63,82,57,64,51,80,69,71,74,Civil Services
80,90,75,98,85,93,50,89,78,74,96,77,59,54,66,73,54,85,88,59,85,80,60,55,57,55,63,92,95,65,76,67,79,75,96,91,87,70,52,64,95,69,88,Data Scientist
71,79,59,61,60,56,81,87,66,69,51,78,91,64,96,60,87,51,63,77,51,72,68,73,61,78,84,79,76,95,95,76,79,63,63,59,91,64,95,99,89,56,79,Data Scientist
99,93,76,67,50,85,76,87,79,100,66,63,92,76,94,95,69,54,83,61,57,81,52,93,74,60,80,73,75,79,65,82,56,83,62,75,54,69,61,86,98,74,86,Engineer
100,57,79,55,87,93,99,90,90,50,96,90,59,54,73,50,67,52,85,94,85,67,70,88,70,94,55,71,95,85,75,60,74,76,94,80,88,51,65,65,74,86,61,Data Scientist
83,70,83,53,89,67,54,56,55,77,67,74,85,63,96,63,94,73,77,66,89,78,100,55,94,54,72,100,63,73,77,91,82,56,69,78,94,99,93,55,93,89,91,Data Scientist
63,93,71,93,62,64,81,81,66,71,71,66,94,86,87,88,53,77,51,99,75,64,91,55,98,82,97,60,92,75,52,66,66,63,80,69,86,77,73,85,55,93,74,Data Scientist
93,81,67,88,85,72,74,56,75,72,95,83,81,81,95,73,86,52,86,92,64,79,80,64,52,99,76,77,67,57,68,57,89,75,58,81,95,80,94,59,81,81,83,Software Developer
67,59,72,62,85,91,66,93,99,91,87,52,93,85,63,69,71,100,57,58,79,98,90,68,60,77,57,68,82,75,81,91,74,95,81,93,53,52,53,72,74,84,95,AI Researcher
81,77,90,96,67,83,63,85,87,90,72,70,56,74,69,69,50,93,83,69,81,93,80,52,92,93,66,98,98,92,79,58,91,81,87,72,78,58,64,55,54,60,89,Engineer
79,63,82,58,85,94,78,58,69,66,70,65,83,75,85,80,79,99,81,78,90,87,59,98,86,93,79,93,68,66,74,81,54,53,50,53,55,86,95,80,62,56,53,AI Researcher
69,52,52,86,93,57,83,83,70,56,90,100,60,90,61,95,81,88,72,85,64,85,75,53,51,58,60,98,94,81,66,61,67,76,97,82,76,83,64,67,54,61,64,Economist
86,51,97,53,94,54,58,93,68,98,100,89,61,93,90,78,92,98,88,54,76,58,83,84,94,52,68,62,60,90,92,80,63,70,69,55,79,72,63,72,90,57,97,Software Developer
66,87,70,75,63,64,86,65,73,97,78,77,67,79,90,82,76,72,63,64,99,96,77,86,98,92,57,94,65,51,71,63,77,68,75,62,50,64,88,53,57,85,97,Web Developer
61,94,50,64,99,69,92,69,76,97,87,72,51,94,68,67,54,58,77,71,90,98,75,53,84,67,71,51,77,53,60,55,73,77,91,72,55,67,92,59,73,77,59,Biotechnologist
93,61,63,97,84,72,60,70,100,89,62,100,93,64,52,86,80,84,69,79,62,53,75,53,73,95,88,95,98,82,52,91,96,51,97,77,88,89,92,69,92,85,95,Data Scientist
62,55,60,61,81,52,70,57,79,80,66,89,51,81,77,77,62,93,79,80,80,70,55,50,69,60,75,66,50,99,78,63,67,94,66,84,66,77,78,95,69,52,95,Environmental Engineer
76,81,62,80,54,68,71,86,93,82,59,78,54,94,59,91,74,53,79,86,97,78,55,67,86,71,84,82,59,57,58,72,63,79,86,55,90,75,50,65,66,87,84,Data Scientist
79,66,54,97,60,62,77,72,80,71,63,72,80,70,63,53,67,94,73,85,98,82,72,50,69,91,84,88,85,73,53,84,82,77,93,52,79,68,84,56,84,61,56,Web Developer
65,99,95,100,92,63,84,52,86,92,70,76,56,92,74,76,99,81,61,63,88,80,100,69,56,99,85,95,70,94,74,86,64,52,87,94,85,90,62,53,79,73,67,Web Developer
63,85,58,87,63,52,82,63,63,64,70,50,82,89,65,67,65,98,81,67,92,87,94,96,93,55,96,58,59,96,61,94,79,54,54,71,78,89,63,67,87,76,82,Database Administrator
77,92,72,52,91,93,98,55,70,63,90,89,63,54,56,74,51,91,57,99,83,77,94,57,97,80,77,58,54,67,92,95,69,75,68,66,72,85,63,50,87,74,58,Civil Services
96,80,85,97,60,82,56,72,100,52,61,64,51,58,75,79,67,51,57,72,82,84,67,97,91,98,59,82,61,98,94,69,86,56,61,99,90,76,75,85,58,61,90,Data Scientist
77,56,51,65,92,59,72,51,100,60,70,90,73,89,78,56,60,52,86,83,91,57,54,59,87,95,65,91,87,72,52,58,53,58,60,99,56,89,93,81,54,70,76,Web Developer
95,60,95,56,63,87,75,68,50,100,65,56,63,79,70,68,56,94,100,56,93,84,88,100,69,95,86,54,51,53,51,72,92,77,52,69,88,91,85,86,76,83,80,Data Scientist
56,69,53,57,77,87,52,68,83,80,50,80,93,71,55,78,65,80,75,61,60,82,61,86,60,56,93,55,80,64,59,94,77,85,63,81,80,91,50,74,79,65,84,AI Researcher
87,57,90,64,76,63,65,64,69,85,88,74,100,82,58,58,73,57,51,83,78,60,87,74,90,73,93,58,97,78,73,83,66,69,80,99,87,84,76,100,94,75,98,Data Scientist
59,57,59,57,74,56,53,65,66,76,63,99,58,59,70,94,98,96,67,73,55,51,54,91,58,50,66,91,59,97,90,80,50,92,70,74,90,52,54,52,54,97,92,Data Scientist
61,81,81,55,79,52,52,55,84,80,54,99,52,94,72,79,100,94,79,94,71,57,59,84,68,97,96,61,78,89,79,52,76,66,61,89,57,81,60,83,95,77,97,Patent Lawyer
83,92,84,68,86,76,64,89,63,64,52,99,96,68,69,93,61,63,70,74,73,53,87,84,96,61,65,59,50,55,58,78,61,68,98,66,84,53,75,75,88,86,65,Mechanical Engineer
86,90,88,53,72,79,50,94,99,85,80,51,78,98,95,84,65,94,73,100,54,87,78,73,69,88,77,89,86,72,72,82,58,60,63,73,58,87,80,72,78,71,53,Full Stack Developer
56,81,53,85,99,54,84,64,94,81,54,73,56,66,66,53,85,75,50,91,94,96,66,79,53,88,90,76,70,53,58,63,62,61,90,95,54,74,87,93,97,63,89,Civil Services
59,71,68,61,54,66,94,86,65,97,67,78,70,63,60,52,60,95,57,78,97,89,70,60,84,62,59,71,87,50,67,77,52,69,55,66,95,76,74,74,98,65,88,Data Scientist
73,77,92,63,52,67,69,96,84,78,97,85,58,88,70,59,78,51,74,73,63,97,75,78,93,53,80,62,52,84,91,55,88,86,74,72,55,82,94,66,79,68,85,Environmental Engineer
70,50,53,77,99,86,54,56,86,57,98,64,68,63,55,65,63,76,51,67,93,77,72,76,85,67,67,97,98,97,90,67,83,70,86,88,90,78,95,61,88,98,63,Data Scientist
51,55,95,56,72,80,88,53,96,83,92,85,57,95,89,53,74,51,57,63,94,69,63,85,61,63,78,54,84,90,97,75,98,54,81,56,95,93,91,80,79,88,83,Data Scientist
93,91,81,95,78,65,74,72,62,66,96,89,70,87,60,50,67,76,83,51,94,95,86,70,70,81,100,50,54,52,63,86,50,85,86,97,78,85,50,53,69,62,93,Cybersecurity Analyst
72,68,92,90,90,58,85,63,79,78,76,54,56,76,99,88,86,87,87,71,60,54,86,90,68,55,91,59,83,89,85,75,61,73,84,71,58,75,80,85,77,98,83,Database Administrator
53,97,79,59,63,68,68,78,92,90,85,81,96,97,58,56,71,100,99,65,92,97,62,93,57,51,76,55,53,83,90,94,71,59,76,65,83,58,95,71,71,88,81,Data Analyst
87,88,75,62,61,68,82,70,97,84,62,95,72,95,55,95,70,57,70,86,75,80,64,56,92,59,78,96,93,70,86,76,52,73,53,72,55,51,73,86,69,67,72,Machine Learning Engineer
78,90,62,51,71,76,58,74,52,59,93,69,89,72,64,79,59,63,55,96,68,88,60,76,64,77,74,62,84,50,90,87,84,89,85,59,64,74,52,87,100,92,69,Economist
52,84,68,65,86,71,90,57,60,72,59,50,85,60,74,81,94,67,64,65,99,72,61,66,52,51,91,77,62,72,54,80,55,84,59,64,67,73,99,58,70,98,90,Biotechnologist
74,94,70,85,99,81,54,89,70,71,52,69,83,100,53,87,82,68,63,53,88,81,70,73,84,66,70,83,65,68,98,87,97,62,88,94,79,82,97,75,81,78,81,AI Researcher
99,84,95,53,72,58,91,75,95,68,55,74,95,51,61,79,90,89,53,93,61,72,52,100,93,83,52,59,89,65,86,51,94,62,68,86,52,54,87,84,66,76,85,Software Developer
100,57,71,65,97,57,65,50,54,96,59,86,50,57,73,93,89,73,86,79,67,73,98,61,59,95,97,56,56,88,95,77,67,56,58,56,78,59,72,57,69,69,71,Software Developer
80,54,80,60,70,95,68,87,80,63,99,98,88,94,76,61,92,50,82,89,92,73,81,99,100,97,70,97,94,91,92,90,96,97,74,56,94,53,56,87,85,68,89,Data Scientist
71,74,83,69,56,88,79,97,62,75,88,61,64,63,88,92,52,78,76,68,80,66,55,75,80,69,93,86,85,95,87,72,75,96,71,60,93,74,69,64,89,82,86,Data Scientist
99,83,98,87,79,97,62,83,89,100,73,76,68,92,70,83,74,94,51,82,77,66,100,75,100,94,99,61,82,63,69,57,64,93,93,83,88,98,62,70,63,60,81,Data Scientist
60,67,51,84,85,87,84,95,86,84,94,78,75,73,81,80,66,88,99,87,57,73,70,95,90,68,72,89,94,72,86,71,75,52,89,50,54,91,93,63,99,75,81,Doctor
63,56,82,69,84,68,97,66,98,93,77,88,85,95,64,90,65,76,59,88,69,81,74,52,98,86,61,86,52,56,78,74,51,91,79,52,88,59,79,91,62,73,67,Data Scientist
87,89,50,76,100,98,78,60,76,57,94,78,82,61,68,67,92,78,60,53,73,87,67,54,98,61,94,96,79,63,63,60,72,93,69,57,94,69,90,86,78,61,96,Software Developer
74,55,78,66,90,55,78,52,67,95,57,54,78,52,52,87,67,60,70,53,52,94,77,99,78,93,64,60,89,98,64,65,76,68,63,61,97,90,78,63,52,74,72,Data Scientist
54,79,78,53,51,60,62,87,54,86,61,56,57,54,82,73,54,79,60,87,69,64,88,91,85,81,60,66,58,79,100,92,98,84,61,74,99,87,96,93,58,61,73,Data Scientist
66,68,51,53,94,57,90,53,58,86,50,85,55,56,68,79,55,60,67,79,100,93,81,77,89,57,96,53,92,99,91,99,71,65,70,57,69,50,69,75,68,61,88,Software Engineer
97,95,55,73,93,96,72,52,76,64,90,63,91,73,91,68,51,58,73,70,63,74,85,92,75,80,54,83,96,80,96,59,60,57,50,92,99,99,96,66,53,77,83,Data Scientist
65,71,61,89,58,69,81,100,98,95,64,75,59,68,76,70,54,87,90,93,93,67,73,57,90,86,63,58,52,63,92,100,91,87,61,80,52,56,58,71,96,56,66,Doctor
81,63,87,83,96,56,97,52,86,58,51,82,91,92,64,61,93,80,59,59,74,66,64,84,76,91,69,53,62,96,61,96,100,82,99,56,95,80,60,85,66,86,66,Data Scientist
76,51,93,51,55,65,63,55,100,81,92,94,87,50,74,58,70,68,68,83,91,75,56,83,50,84,83,70,56,94,63,69,72,81,76,80,90,71,88,85,97,92,52,Data Scientist
52,64,86,84,83,63,97,100,50,87,72,53,77,89,87,69,95,96,50,83,89,91,95,90,94,57,94,97,72,71,95,70,74,66,96,82,68,51,93,87,78,84,78,Doctor
96,97,56,68,94,88,90,99,59,55,66,79,63,93,85,89,90,54,98,96,91,95,88,70,54,64,98,84,79,70,62,65,79,85,58,55,93,79,88,72,87,60,58,Software Developer
58,51,62,81,86,77,60,74,61,77,65,87,75,51,76,70,73,51,55,53,58,50,92,92,91,83,97,86,97,97,86,62,96,59,55,100,72,78,87,71,90,89,68,Database Administrator
74,54,66,95,92,88,66,81,96,85,64,68,97,79,98,86,73,58,89,84,83,87,83,56,100,68,87,85,57,65,55,93,93,54,79,91,89,94,81,64,75,61,55,Data Scientist
